
175,161.335,	(-165.796,56.0059,2.81583)
176,161.914,	(-167.304,54.6385,2.82593)
177,162.492,	(-168.801,53.2475,2.83603)
179,163.104,	(-171.273,52.0251,2.84669)
180,163.681,	(-172.748,50.5775,2.85677)
181,164.258,	(-174.211,49.1066,2.86684)
183,164.866,	(-176.653,47.7761,2.87746)
184,165.442,	(-178.093,46.2492,2.88751)

242,180.281,	(-241.997,-1.18783,3.1465)
245,180.885,	(-244.971,-3.78232,3.15703)
247,181.469,	(-246.919,-6.33253,3.16723)
251,182.087,	(-250.833,-9.14244,3.17802)
254,182.687,	(-253.721,-11.9075,3.18849)
258,183.302,	(-257.572,-14.8589,3.19922)
0,183.63,	(-0,-0,3.20495)
0,184.179,	(-0,-0,3.21453)
245,184.71,	(-244.173,-20.1195,3.22381)
262,185.533,	(-260.779,-25.2601,3.23816)
261,186.055,	(-259.544,-27.5305,3.24727)
260,186.577,	(-258.289,-29.7799,3.25638)
259,187.099,	(-257.015,-32.0081,3.26549)
258,187.621,	(-255.721,-34.2151,3.2746)
257,188.143,	(-254.409,-36.4007,3.28371)
255,188.648,	(-252.101,-38.3417,3.29252)
254,189.162,	(-250.759,-40.4455,3.30151)
254,189.707,	(-250.363,-42.8273,3.31101)
252,190.218,	(-248.003,-44.7041,3.31993)
251,190.746,	(-246.598,-46.7998,3.32914)
250,191.273,	(-245.176,-48.8729,3.33835)
249,191.801,	(-243.737,-50.9232,3.34756)
249,192.345,	(-243.242,-53.2377,3.35706)
247,192.855,	(-240.809,-54.9547,3.36596)
247,193.387,	(-240.289,-57.1851,3.37523)
246,193.907,	(-238.789,-59.1245,3.38431)
245,194.427,	(-237.274,-61.0408,3.39339)
244,194.947,	(-235.744,-62.9338,3.40247)
243,195.467,	(-234.2,-64.8035,3.41154)
243,196.005,	(-233.581,-66.9995,3.42093)
242,196.525,	(-232.005,-68.8311,3.43)
241,197.044,	(-230.415,-70.6391,3.43907)
241,197.575,	(-229.75,-72.7724,3.44834)
240,198.095,	(-228.131,-74.5416,3.45741)
239,198.614,	(-226.498,-76.287,3.46647)
239,199.152,	(-225.772,-78.4101,3.47586)
238,199.671,	(-224.11,-80.1159,3.48492)
237,200.19,	(-222.437,-81.7973,3.49398)
237,200.728,	(-221.659,-83.8821,3.50337)
236,201.247,	(-219.958,-85.5235,3.51242)
236,201.794,	(-219.132,-87.6189,3.52197)
235,202.312,	(-217.405,-89.2194,3.53102)
234,202.831,	(-215.667,-90.7951,3.54007)
234,203.369,	(-214.805,-92.8159,3.54946)
234,203.907,	(-213.924,-94.8285,3.55885)
233,204.425,	(-212.147,-96.3464,3.56789)
233,204.963,	(-211.233,-98.3339,3.57728)
232,205.481,	(-209.432,-99.81,3.58632)
232,206.012,	(-208.498,-101.748,3.5956)
232,206.548,	(-207.538,-103.693,3.60495)
231,207.064,	(-205.705,-105.102,3.61395)
231,207.6,	(-204.714,-107.02,3.6233)
231,208.135,	(-203.704,-108.93,3.63265)
230,208.651,	(-201.838,-110.279,3.64165)
230,209.187,	(-200.798,-112.161,3.651)
230,209.722,	(-199.741,-114.034,3.66035)
229,210.249,	(-197.82,-115.361,3.66954)
229,210.787,	(-196.729,-117.213,3.67893)
229,211.325,	(-195.619,-119.055,3.68832)
229,211.863,	(-194.493,-120.886,3.6977)
229,212.401,	(-193.349,-122.707,3.70709)
229,212.939,	(-192.189,-124.517,3.71648)
229,213.477,	(-191.011,-126.316,3.72587)
228,213.994,	(-189.034,-127.477,3.7349)
228,214.541,	(-187.808,-129.275,3.74445)
228,215.079,	(-186.586,-131.033,3.75384)
228,215.617,	(-185.348,-132.779,3.76323)
228,216.155,	(-184.093,-134.513,3.77261)
228,216.693,	(-182.822,-136.236,3.782)
228,217.231,	(-181.535,-137.946,3.79139)
229,217.789,	(-180.972,-140.322,3.80114)
229,218.327,	(-179.647,-142.014,3.81053)
229,218.858,	(-178.322,-143.674,3.8198)
229,219.399,	(-176.96,-145.349,3.82923)
229,219.939,	(-175.581,-147.011,3.83865)
229,220.479,	(-174.188,-148.66,3.84808)
229,221.019,	(-172.778,-150.295,3.85751)
229,221.559,	(-171.354,-151.917,3.86694)
