0,0,	8481632485960
0,0,	8481632516877
0,0,	8481632547210
0,0,	8481632577835
0,0,	8481632607877
0,0,	8481632638502
0,0,	8481632668835
0,0,	8481632700335
0,0,	8481632730377
0,3.89365,	8481632761293
0,3.90581,	8481632791918
0,3.91854,	8481632822543
0,3.9307,	8481632852877
0,3.94348,	8481632883793
0,3.95565,	8481632914127
0,3.96781,	8481632944752
0,3.97991,	8481632975085
0,3.99157,	8481633020877
0.197022,4.00319,	8481633053835
0.196521,4.01548,	8481633085335
0.19702,4.02704,	8481633115960
0.197523,4.03857,	8481633146585
0.19803,4.05006,	8481633177793
0.198542,4.06152,	8481633208418
0.199063,4.07303,	8481633239043
0.199591,4.08456,	8481633269960
0.200123,4.09605,	8481633300293
0.200659,4.10751,	8481633330918
0.2012,4.11893,	8481633361252
0.201744,4.13032,	8481633391877
0.202293,4.14166,	8481633422793
0.202846,4.15298,	8481633454293
0.203384,4.16389,	8481633484918
0.203933,4.17491,	8481633516127
0.204486,4.18589,	8481633546460
0.205042,4.19684,	8481633577377
0.206591,4.20693,	8481633608002
0.207153,4.21781,	8481633638918
0.207719,4.22865,	8481633669543
0.209277,4.23863,	8481633700168
0.209858,4.24958,	8481633730502
0.210424,4.26014,	8481633761418
0.210993,4.27067,	8481633819168
